"Path","Project","Status","Compiled","Replacement","Detail"
"src/EJLive.Client.WinForms/Agent/AgentBootstrapper.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/AgentTrayContext.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/AutoAdminSetup.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/BootNotifier.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/LogBackupScheduler.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/NetworkMonitor.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/ScreenshotScheduler.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Agent/TimeSyncScheduler.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedClientServiceSupervisor","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/AdvancedJournalProcessor.cs","EJLive.Client.WinForms","ActiveCompiled","true","NetworkEngine + UnifiedRemoteCommandOrchestrator","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/AdvancedNetworkManager.cs","EJLive.Client.WinForms","ActiveCompiled","true","NetworkEngine + UnifiedRemoteCommandOrchestrator","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/AdvancedRemoteCommandHandler.cs","EJLive.Client.WinForms","ActiveCompiled","true","NetworkEngine + UnifiedRemoteCommandOrchestrator","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/CashTelemetryService.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedJournalEvidenceAnalyzer","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/JournalProcessor.cs","EJLive.Client.WinForms","ActiveCompiled","true","JournalSyncService + JournalOutbox","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/JournalSyncAgent.cs","EJLive.Client.WinForms","ActiveCompiled","true","JournalSyncService + JournalOutbox","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/NetworkEngine.cs","EJLive.Client.WinForms","ActiveCompiled","true","NetworkEngine","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/NetworkManager.cs","EJLive.Client.WinForms","ActiveCompiled","true","NetworkEngine","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/RemoteCommandHandler.cs","EJLive.Client.WinForms","ActiveCompiled","true","UnifiedRemoteCommandOrchestrator","Candidate file is compiled directly in the active runtime."
"src/EJLive.Client.WinForms/Services/UIBinder.cs","EJLive.Client.WinForms","ActiveCompiled","true","ClientMainForm","Candidate file is compiled directly in the active runtime."
"src/EJLive.Core/Engine/FileWatcherEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/FleetPredictionEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/GhostRemoteEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/ImageSyncEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/JournalSyncTracker.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/Protocol.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/ReportExportEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/ServerEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Engine/TransactionAnalysisEngine.cs","EJLive.Core","ReferenceCovered","false","OperationalEngines + NetworkEngine + CommunicationProtocol","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/AnalysisRuntimeModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/ATMInfo.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/CompatibilityModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/JournalArchiveModels.cs","EJLive.Core","ActiveCompiled","true","UnifiedModels","Candidate file is compiled directly in the active runtime."
"src/EJLive.Core/Models/JournalSyncModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/MergedTraceModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/NcrCapabilityModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/NcrConfigCapabilityModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/NcrConfigModels.cs","EJLive.Core","ActiveCompiled","true","UnifiedModels","Candidate file is compiled directly in the active runtime."
"src/EJLive.Core/Models/NcrConfigProfileModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/NcrConfigurationModels.cs","EJLive.Core","ActiveCompiled","true","UnifiedModels","Candidate file is compiled directly in the active runtime."
"src/EJLive.Core/Models/OperationalContracts.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/TransactionModels.cs","EJLive.Core","ReferenceCovered","false","UnifiedModels","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Models/VendorRootProfileModels.cs","EJLive.Core","ActiveCompiled","true","UnifiedModels","Candidate file is compiled directly in the active runtime."
"src/EJLive.Core/Services/CoreServices.cs","EJLive.Core","ReferenceCovered","false","CoreServices + UnifiedOperationalFusion + UnifiedServiceOperations + UnifiedServiceGateway","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/CardReaderTraceAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/DebugTraceAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/DieboldMdsAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/GrgJournalAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/GrgXfsAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/HostMessageInAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/HostMessageOutAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/IXfsVendorAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrCardReaderTraceAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrDebugTraceAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrHostMessageInAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrHostMessageOutAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrJournalAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrOoxfsRuntimeAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/NcrXfsAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Adapters/OoxfsRuntimeAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/IXfsVendorAdapter.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/Models/XfsNormalizedModels.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/XfsAdapterRegistry.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Core/Xfs/XfsEventModels.cs","EJLive.Core","ReferenceCovered","false","XfsModels + UnifiedJournalEvidenceAnalyzer","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server.WinForms/Services/ArchiveManager.cs","EJLive.Server.WinForms","ReferenceCovered","false","ServerMainForm + ServerEngine + UnifiedJournalStorageService","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server.WinForms/Services/EJServer.cs","EJLive.Server.WinForms","ReferenceCovered","false","ServerMainForm + ServerEngine + UnifiedJournalStorageService","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server.WinForms/Services/EJServerService.cs","EJLive.Server.WinForms","ReferenceCovered","false","ServerMainForm + ServerEngine + UnifiedJournalStorageService","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server.WinForms/Services/UIBinder.cs","EJLive.Server.WinForms","ReferenceCovered","false","ServerMainForm + ServerEngine + UnifiedJournalStorageService","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server/Services/JournalAnalyticsService.cs","EJLive.Server","ReferenceCovered","false","UnifiedJournalStorageService + UnifiedRemoteCommandOrchestrator","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Server/Services/RemoteControlService.cs","EJLive.Server","ReferenceCovered","false","UnifiedJournalStorageService + UnifiedRemoteCommandOrchestrator","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Shared/AppLogger.cs","EJLive.Shared","ActiveCompiled","true","AppLogger + SecurityHelper + DateTimeHelper + RetryPolicy","Candidate file is compiled directly in the active runtime."
"src/EJLive.Shared/LightUiTheme.cs","EJLive.Shared","ReferenceCovered","false","AppLogger + SecurityHelper + DateTimeHelper + RetryPolicy","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Shared/Logger.cs","EJLive.Shared","ReferenceCovered","false","AppLogger + SecurityHelper + DateTimeHelper + RetryPolicy","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Shared/MonitoringState.cs","EJLive.Shared","ReferenceCovered","false","AppLogger + SecurityHelper + DateTimeHelper + RetryPolicy","Candidate file remains reference-preserved and is covered through unified active replacement."
"src/EJLive.Shared/MonitoringStateStore.cs","EJLive.Shared","ReferenceCovered","false","AppLogger + SecurityHelper + DateTimeHelper + RetryPolicy","Candidate file remains reference-preserved and is covered through unified active replacement."
